variable,feature_role,categoria_claro,definicion,data_type,missing_count,unique_values,rationale
VAL_DECO_BAS,PREDICTOR,Equipos & Dispositivos (Hogar),Número de decodificadores básicos instalados.,float64,1,3,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_MODEM_BAS,PREDICTOR,Equipos & Dispositivos (Hogar),Número de módems básicos instalados.,float64,1,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_UW,PREDICTOR,Equipos & Dispositivos (Hogar),Número de dispositivos UltraWiFi instalados.,int64,0,5,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_DIAS_PAGO,PREDICTOR,Facturación & Cartera,Días promedio de anticipación o retraso en el pago. Valor negativo = paga antes del vencimiento.,float64,20,115,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_RENTA_ACTUAL,PREDICTOR,Facturación & Cartera,Cargo fijo mensual del servicio (renta actual).,float64,0,8456,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_SALDO_ACTUAL,POST_TREATMENT,Facturación & Cartera,Saldo actual del cliente. Positivo = el cliente debe; negativo = saldo a favor.,float64,0,4717,Liquidación a 0.0 en el momento de cancelación efectiva. Fuga post-evento.
VAL_RENTA_M6,PREDICTOR,Facturación & Cartera,Renta facturada seis meses atrás (base para calcular variación).,float64,0,9512,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_VAR_RENTA,PREDICTOR,Facturación & Cartera,Variación porcentual de la renta en los últimos 6 meses. Fórmula: (renta actual − renta hace 6 meses) / renta hace 6 meses × 100.,float64,0,6820,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_MORA_30,PREDICTOR,Facturación & Cartera,Marca (1/0) de altura de cartera en mora a 30 días.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_DESPOSICIONADO_COMPETENCIA,PREDICTOR,"Zona, Nodo & Calidad de Red",Marca (1/0): el cliente está en una zona donde la competencia ofrece más megas o menor precio.,int64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_DESPOSICIONADO_COMERCIAL,PREDICTOR,"Zona, Nodo & Calidad de Red",Marca (1/0): el cliente está desposicionado comercialmente frente a la oferta vigente de Claro en su zona.,int64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_DESPOSICIONADO_TENOLOGICO,PREDICTOR,"Zona, Nodo & Calidad de Red","Marca (1/0): el equipo no es apto para la velocidad, es obsoleto o presenta fallas de señal.",int64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_SUSPENCION_COBRANZA,PREDICTOR,Facturación & Cartera,Marca (1/0) que indica si el cliente tuvo desconexión por cobranza el mes anterior.,int64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_MIGRACION_ZONA,PREDICTOR,Intención de Cancelación & Churn,Marca (1/0) que indica si el cliente se mudó recientemente.,int64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_TRASLADO,PREDICTOR,Intención de Cancelación & Churn,Marca (1/0) que indica si el cliente solicitó traslado del servicio el mes anterior.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_CHURN,TARGET_MODEL_A,Intención de Cancelación & Churn,Marca (1/0) que indica si el cliente dio de baja uno o más servicios básicos (cancelación efectiva).,int64,0,2,Target primario: Deserción efectiva (0.52% prevalencia)
VAL_SS_BCART,PREDICTOR,Facturación & Cartera,Número de servicios dados de baja por cartera o causa involuntaria.,int64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_COMPRA_SRV,PREDICTOR,Scores & Modelos Analíticos,Marca (1/0): realizó compra de un servicio básico o adicional.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_FRECUENCIA_COMPRA,PREDICTOR,Facturación & Cartera,Transacciones por año (upgrades y compras): número de compras del último año dividido en 12 meses.,float64,0,15,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_SCORE_CREDITICIO,PREDICTOR,Facturación & Cartera,Score crediticio del cliente.,float64,215,19290,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_RENTA_BSC_IVA,PREDICTOR,Facturación & Cartera,"Renta total de los servicios básicos, sin IVA y con IVA respectivamente.",float64,95,7636,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_RENTA_ADIC_IVA,PREDICTOR,Facturación & Cartera,"Renta total de los servicios adicionales, sin IVA y con IVA respectivamente.",float64,95,4617,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_CAMPANA_ACTIVA,POST_TREATMENT,Campañas & Retención (NBO/NBA),Marca (1/0) que indica si una campaña aplica NBO / si el cliente tiene campaña activa.,int64,0,2,Intervención o consecuencia posterior al evento/riesgo (post-treatment leakage)
VAL_CAMPANA,TEMPORAL_UNCERTAIN,Campañas & Retención (NBO/NBA),Número de campañas activas en el mes.,int64,0,6,Temporalidad no garantizada ex-ante en T0 para baseline
BAN_CAMPANA_VENTA,PREDICTOR,Campañas & Retención (NBO/NBA),Marca (1/0) que indica si la campaña fue de venta.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_CAMPANA_RETENCION,POST_TREATMENT,Campañas & Retención (NBO/NBA),Marca (1/0) que indica si el cliente cuenta con campaña activa de retención.,int64,0,2,Intervención o consecuencia posterior al evento/riesgo (post-treatment leakage)
BAN_CAMPANA_CORRECTIVA,POST_TREATMENT,Campañas & Retención (NBO/NBA),Marca (1/0) que indica si la campaña fue correctiva.,int64,0,2,Intervención o consecuencia posterior al evento/riesgo (post-treatment leakage)
VAL_CAMPANA_RETENCION_36M,POST_TREATMENT,Campañas & Retención (NBO/NBA),Total de campañas de retención recibidas en los últimos 36 meses.,int64,0,2,Intervención o consecuencia posterior al evento/riesgo (post-treatment leakage)
VAL_OFER_ANTERIORES,TEMPORAL_UNCERTAIN,Campañas & Retención (NBO/NBA),Número de campañas recibidas en los últimos dos años.,int64,0,2,Temporalidad no garantizada ex-ante en T0 para baseline
BAN_CAZA_OFERTA,PREDICTOR,Campañas & Retención (NBO/NBA),"Marca (1/0) del cliente que, al vencérsele una campaña, llama a cancelar para renovar el descuento; conducta reiterada en su ciclo de vida.",int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_INTENCION_CANCELACION,TARGET_MODEL_B,Intención de Cancelación & Churn,Marca (1/0) que indica si el cliente hizo una llamada de cancelación (entre 30 y 60 días).,int64,0,2,Target secundario: Alerta temprana de intención (19.91% prevalencia)
BAN_RETENCION_ACTIVA,POST_TREATMENT,Intención de Cancelación & Churn,Marca (1/0) que indica si el cliente fue retenido con éxito en los últimos 12 meses.,int64,0,2,Intervención o consecuencia posterior al evento/riesgo (post-treatment leakage)
CANTIDAD_INTENCIONES,TARGET_LEAKAGE,Intención de Cancelación & Churn,Número de intenciones de cancelación del cliente en el último año.,int64,0,12,Contiene información directa o proxy del evento de intención/cancelación
BAN_REINCIDENTE_30,TARGET_LEAKAGE,Intención de Cancelación & Churn,Marca (1/0) de solicitud de cancelación en los últimos 30 días.,int64,0,2,Contiene información directa o proxy del evento de intención/cancelación
BAN_REINCIDENTE_60,TARGET_LEAKAGE,Intención de Cancelación & Churn,Marca (1/0) de solicitud de cancelación en los últimos 60 días.,int64,0,2,Contiene información directa o proxy del evento de intención/cancelación
BAN_OT_CERRADAS_DX,POST_TREATMENT,Intención de Cancelación & Churn,Marca (1/0) que indica una orden de trabajo activa/cerrada de desconexión.,int64,0,2,Intervención o consecuencia posterior al evento/riesgo (post-treatment leakage)
VAL_SUM_VAL_DATOS_MOVIL_MB,PREDICTOR,Servicio Móvil,"Consumo de datos móviles mensual, en MB.",float64,0,12998,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_SUM_VAL_MINUTOS_VOZ,PREDICTOR,Servicio Móvil,Minutos de voz consumidos al mes.,int64,0,2435,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_SUM_VAL_SMS_ENVIADOS,PREDICTOR,Servicio Móvil,Número de SMS enviados al mes.,int64,0,137,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_SUM_BAN_DUAL_SIM,PREDICTOR,Servicio Móvil,Marca/conteo de uso de doble SIM en el móvil.,int64,0,7,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_SUM_BAN_5G,PREDICTOR,Servicio Móvil,Marca/conteo de uso de red 5G.,int64,0,8,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_SUM_BAN_ROAMING,PREDICTOR,Servicio Móvil,Marca/conteo de uso de roaming internacional en los últimos 3 meses.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_SUM_VAL_USO_CAT_APPS_PREFERIDAS,PREDICTOR,Servicio Móvil,Apps más usadas por el cliente (p. ej. gaming).,int64,0,1754,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_SUM_VAL_USO_REDES_SOCIALES,PREDICTOR,General,Variable operativa / derivada,int64,0,1512,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_NUM_LINEAS_POSTPAGO,PREDICTOR,General,Variable operativa / derivada,int64,0,10,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_NUM_LINEAS_PREPAGO,PREDICTOR,General,Variable operativa / derivada,int64,0,25,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_NUM_LINEAS_MASIVO,PREDICTOR,General,Variable operativa / derivada,int64,0,27,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_NUM_LINEAS_EMPRESARIAL,PREDICTOR,General,Variable operativa / derivada,int64,0,9,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_NUM_LINEAS_4G,PREDICTOR,General,Variable operativa / derivada,int64,0,15,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_NUM_LINEAS_5G,PREDICTOR,General,Variable operativa / derivada,int64,0,8,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_SUM_BAN_TECNICO_30,PREDICTOR,"Reclamos, Llamadas & Soporte",Marca/conteo que indica si requirió visita técnica en los últimos 30 días.,int64,0,21,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_DOWNTIME,PREDICTOR,"Zona, Nodo & Calidad de Red",Minutos de interrupción del servicio en el mes (sumatoria del tiempo de resolución de las fallas reportadas por el cliente).,float64,0,2041,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_RECLAMOS_MES,PREDICTOR,"Reclamos, Llamadas & Soporte",Reclamos formales en los últimos 3 meses / en el mes.,float64,0,25,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_TICKETS_MES,PREDICTOR,"Reclamos, Llamadas & Soporte",Número de tickets de soporte en los últimos 3 meses / en el mes.,float64,0,10,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_LLAMADAS_MES_CALLCENTER,PREDICTOR,"Reclamos, Llamadas & Soporte",Número de llamadas al call center en el mes.,float64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_LLAM_ADTIVAS_NEUTRAS,PREDICTOR,"Reclamos, Llamadas & Soporte",Número de llamadas por fallas administrativas neutras.,float64,0,24,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_LLAM_TEC_NEUTRAS,PREDICTOR,"Reclamos, Llamadas & Soporte",Número de llamadas por fallas técnicas neutras.,float64,0,9,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_LLAM_ADTIVAS_NEGATIVAS,PREDICTOR,"Reclamos, Llamadas & Soporte",Número de llamadas por fallas administrativas negativas.,float64,0,8,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_LLAM_TEC_NEGATIVAS,PREDICTOR,"Reclamos, Llamadas & Soporte",Número de llamadas por fallas técnicas negativas.,float64,0,12,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_PENETRACION_NODO,PREDICTOR,"Zona, Nodo & Calidad de Red",Porcentaje de Home Pass ocupados (hogares / HHPP).,float64,20000,0,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_DENSIDAD_ZONA,PREDICTOR,"Zona, Nodo & Calidad de Red",Densidad de clientes en la zona.,int64,0,551,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
VAL_CHURN_ZONA,PREDICTOR,"Zona, Nodo & Calidad de Red","Tasa de churn en la zona (calculada con el score de Oracle, canal telefónico).",float64,20000,0,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
BAN_DESPOSICIONADO_NODO,PREDICTOR,"Zona, Nodo & Calidad de Red",Marca (1/0): el cliente está en un nodo con afectación que requiere visita técnica para normalizarse.,int64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
CONVERGENTE_CEDULA_SI,PREDICTOR,Identificación & Demografía,Marca (1/0) que identifica al cliente convergente (posee fijo y móvil).,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
ESTRATO_1,PREDICTOR,Segmentación,Variables dummy (1/0) que indican el estrato del cliente.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
ESTRATO_2,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
ESTRATO_3,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
ESTRATO_4,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
ESTRATO_5,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
ESTRATO_6,PREDICTOR,Segmentación,Variables dummy (1/0) que indican el estrato del cliente.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
ESTRATO_OTRO_NA,PREDICTOR,Segmentación,Variables dummy (1/0) que indican el estrato del cliente.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_CLIENTE_NUEVO,PREDICTOR,Identificación & Demografía,Marca (1/0) que indica si el cliente es nuevo.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
ESTADO_FUENTE_A,TARGET_LEAKAGE,Segmentación,Estado del cliente según la fuente de información.,int64,0,2,"Codifica el estado actual del cliente en la fuente (A=Activo, C=Cancelado/Churn). Fuga perfecta 1:1."
ESTADO_FUENTE_C,TARGET_LEAKAGE,General,Variable operativa / derivada,int64,0,2,"Codifica el estado actual del cliente en la fuente (A=Activo, C=Cancelado/Churn). Fuga perfecta 1:1."
ESTADO_FUENTE_MAS,TARGET_LEAKAGE,General,Variable operativa / derivada,int64,0,2,"Codifica el estado actual del cliente en la fuente (A=Activo, C=Cancelado/Churn). Fuga perfecta 1:1."
ESTADO_FUENTE_MENOS,TARGET_LEAKAGE,General,Variable operativa / derivada,int64,0,2,"Codifica el estado actual del cliente en la fuente (A=Activo, C=Cancelado/Churn). Fuga perfecta 1:1."
TIPO_RED_BI,PREDICTOR,Segmentación,Variables dummy del tipo de red del cliente.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_RED_FTT,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_RED_DTH,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_RED_OTRO,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_DIGITAL_PI,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_DIGITAL_P,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_DIGITAL_BI,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_CLAROTV_B,PREDICTOR,General,Variable operativa / derivada,int64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_DIGITAL_B,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_SATELITAL_A,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_SATELITAL_B,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_DIGITAL_S,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_CLAROTV_PI,PREDICTOR,General,Variable operativa / derivada,int64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_DIGITAL_A,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_SATELITAL_S,PREDICTOR,General,Variable operativa / derivada,int64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_DIGITAL_NA,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
TIPO_TV_BASICOTV,PREDICTOR,General,Variable operativa / derivada,int64,0,1,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
MOTIVO_LLAM_INFO_GRAL,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
MOTIVO_LLAM_CANCELA,TARGET_LEAKAGE,General,Variable operativa / derivada,int64,0,2,Contiene información directa o proxy del evento de intención/cancelación
MOTIVO_LLAM_NOV_ADMIN,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
MOTIVO_LLAM_NOV_TEC,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
MOTIVO_LLAM_SOPORTE_TEC,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
MOTIVO_LLAM_OTRO,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
CLASIF_OKK_IGUALCONDICION,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
CLASIF_OKK_MEJORCOMP,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
CLASIF_OKK_ALTACOMP,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
CLASIF_OKK_SOMOSUNICOS,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
CLASIF_OKK_SOMOSMEJORES,PREDICTOR,General,Variable operativa / derivada,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
SEGMENTO_RE,PREDICTOR,Segmentación,Segmento del cliente en el frente de Retención.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
SEGMENTO_PY,PREDICTOR,Segmentación,Segmento del cliente en el frente PYMES.,int64,0,2,"Variable explicativa legítima de comportamiento, consumo, red o demografía"
